SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
251,1.14285714,0.65384615,0.875,0.04545455,12,2,FALSE,cos,2.25,12,0,0,0.95238095,FALSE,0,cos,190,0.26388889
267,1,0.98181818,1,0.01818182,11,1,FALSE,Borr,1.18181818,11,0,0,1,FALSE,0,Borr,108,0.18181818
204,1,1,1,0,8,1,FALSE,neur,1,8,0,0,1,FALSE,0,neur,56,0
221,1.71428571,0.14835165,0.58333333,0,8,3,FALSE,sec23,2.375,8,0,0,0.76190476,FALSE,0,sec23,56,0.6875
237,1.64285714,0.15384615,0.60869565,0.3,5,2,FALSE,Pde8,4.4,5,0,0,0.78571429,FALSE,0,Pde8,36,0.32307692
305,1,1,1,0,5,1,FALSE,betaTub56D,1,5,0,0,1,FALSE,0,betaTub56D,20,0
338,1,1,1,0,4,1,FALSE,G-ialpha65A,1,4,0,0,1,FALSE,0,G-ialpha65A,12,0
229,1.78571429,0.01282051,0.56,0.33333333,3,2,FALSE,alph,8.33333333,3,0,0,0.73809524,FALSE,0,alph,12,0.61538462
231,1.78571429,0.01282051,0.56,0.33333333,3,2,FALSE,mbo,8.33333333,3,0,0,0.73809524,FALSE,0,mbo,12,0.61538462
235,1.78571429,0.01282051,0.56,0.33333333,3,2,FALSE,osa,8.33333333,3,0,0,0.73809524,FALSE,0,osa,12,0.61538462
244,1,1,1,0,3,1,FALSE,Arp66B,1,3,0,0,1,FALSE,0,Arp66B,6,0
290,1,1,1,0,3,1,FALSE,140up,1,3,0,0,1,FALSE,0,140up,6,0
316,1,1,1,0,3,1,FALSE,nej,1,3,0,0,1,FALSE,0,nej,6,0
327,1,0,1,0,3,1,FALSE,Yp1,1,2,0,0,1,FALSE,1,Yp1,0,0
350,1,0,1,0,3,1,FALSE,CG17739,1,2,0,0,1,FALSE,1,CG17739,0,0
199,1,1,1,0,2,1,FALSE,CG2678,1,2,0,0,1,FALSE,0,CG2678,2,0
220,1.92857143,0.00549451,0.51851852,0,2,3,FALSE,cnk,10,2,0,0,0.69047619,FALSE,0,cnk,8,0.81818182
223,1.92857143,0.00549451,0.51851852,0,2,3,FALSE,pot,10,2,0,0,0.69047619,FALSE,0,pot,8,0.81818182
225,1.92857143,0.00549451,0.51851852,0,2,3,FALSE,Su(H),10,2,0,0,0.69047619,FALSE,0,Su(H),8,0.81818182
227,1.92857143,0.00549451,0.51851852,0,2,3,FALSE,tum,10,2,0,0,0.69047619,FALSE,0,tum,8,0.81818182
233,1.92857143,0.00549451,0.51851852,0,2,3,FALSE,wee,10,2,0,0,0.69047619,FALSE,0,wee,8,0.81818182
271,1.81818182,0,0.55,1,2,2,FALSE,CG16719,6.5,2,0,0,0.59090909,FALSE,0,CG16719,0,0.59090909
283,1.81818182,0,0.55,1,2,2,FALSE,dmt,6.5,2,0,0,0.59090909,FALSE,0,dmt,0,0.59090909
297,1,1,1,0,2,1,FALSE,cas,1,2,0,0,1,FALSE,0,cas,2,0
323,1.75,0.5,0.57142857,0,2,3,FALSE,dome,1.5,2,0,0,0.8125,FALSE,0,dome,6,0.5
325,1.5,0.66666667,0.66666667,0,2,2,FALSE,Tm1,2,2,0,0,0.875,FALSE,0,Tm1,8,0.5
347,1.75,0.5,0.57142857,0,2,3,FALSE,phyl,1.5,2,0,0,0.8125,FALSE,0,phyl,6,0.5
198,1.5,0,0.66666667,0,1,2,FALSE,cbt,2,1,0,0,0.75,FALSE,0,cbt,0,0
201,1.5,0,0.66666667,0,1,2,FALSE,blow,2,1,0,0,0.75,FALSE,0,blow,0,0
203,1.875,0,0.53333333,0,1,2,FALSE,sina,8,1,0,0,0.5625,FALSE,0,sina,0,0
206,1.875,0,0.53333333,0,1,2,FALSE,l(2)efl,8,1,0,0,0.5625,FALSE,0,l(2)efl,0,0
208,1.875,0,0.53333333,0,1,2,FALSE,Pcaf,8,1,0,0,0.5625,FALSE,0,Pcaf,0,0
210,1.875,0,0.53333333,0,1,2,FALSE,Rpd3,8,1,0,0,0.5625,FALSE,0,Rpd3,0,0
212,1.875,0,0.53333333,0,1,2,FALSE,dpld,8,1,0,0,0.5625,FALSE,0,dpld,0,0
214,1.875,0,0.53333333,0,1,2,FALSE,dom,8,1,0,0,0.5625,FALSE,0,dom,0,0
216,1.875,0,0.53333333,0,1,2,FALSE,l(3)mbt,8,1,0,0,0.5625,FALSE,0,l(3)mbt,0,0
218,1.875,0,0.53333333,0,1,2,FALSE,tld,8,1,0,0,0.5625,FALSE,0,tld,0,0
241,2.57142857,0,0.38888889,0,1,3,FALSE,Btk29A,5,1,0,0,0.47619048,FALSE,0,Btk29A,0,0
243,1.66666667,0,0.6,0,1,2,FALSE,CG8149,3,1,0,0,0.66666667,FALSE,0,CG8149,0,0
246,1.66666667,0,0.6,0,1,2,FALSE,Traf6,3,1,0,0,0.66666667,FALSE,0,Traf6,0,0
248,1.66666667,0,0.6,0,1,2,FALSE,emp,3,1,0,0,0.66666667,FALSE,0,emp,0,0
250,2.07142857,0,0.48275862,0,1,3,FALSE,pbl,12,1,0,0,0.64285714,FALSE,0,pbl,0,0
253,2.07142857,0,0.48275862,0,1,3,FALSE,cactin,12,1,0,0,0.64285714,FALSE,0,cactin,0,0
264,2.07142857,0,0.48275862,0,1,3,FALSE,hpo,12,1,0,0,0.64285714,FALSE,0,hpo,0,0
266,1.90909091,0,0.52380952,0,1,2,FALSE,tok,11,1,0,0,0.54545455,FALSE,0,tok,0,0
269,1.90909091,0,0.52380952,0,1,2,FALSE,spn-A,11,1,0,0,0.54545455,FALSE,0,spn-A,0,0
273,1.90909091,0,0.52380952,0,1,2,FALSE,cin,11,1,0,0,0.54545455,FALSE,0,cin,0,0
275,1.90909091,0,0.52380952,0,1,2,FALSE,Dl,11,1,0,0,0.54545455,FALSE,0,Dl,0,0
277,1.90909091,0,0.52380952,0,1,2,FALSE,Eip63F-1,11,1,0,0,0.54545455,FALSE,0,Eip63F-1,0,0
279,1.90909091,0,0.52380952,0,1,2,FALSE,E(z),11,1,0,0,0.54545455,FALSE,0,E(z),0,0
281,1.90909091,0,0.52380952,0,1,2,FALSE,Caf1,11,1,0,0,0.54545455,FALSE,0,Caf1,0,0
285,1.90909091,0,0.52380952,0,1,2,FALSE,thr,11,1,0,0,0.54545455,FALSE,0,thr,0,0
287,1.90909091,0,0.52380952,0,1,2,FALSE,asf1,11,1,0,0,0.54545455,FALSE,0,asf1,0,0
289,1.66666667,0,0.6,0,1,2,FALSE,MED4,3,1,0,0,0.66666667,FALSE,0,MED4,0,0
292,1.66666667,0,0.6,0,1,2,FALSE,dsf,3,1,0,0,0.66666667,FALSE,0,dsf,0,0
294,1.66666667,0,0.6,0,1,2,FALSE,Moe,3,1,0,0,0.66666667,FALSE,0,Moe,0,0
296,1.5,0,0.66666667,0,1,2,FALSE,robo,2,1,0,0,0.75,FALSE,0,robo,0,0
299,1.5,0,0.66666667,0,1,2,FALSE,run,2,1,0,0,0.75,FALSE,0,run,0,0
301,1,0,1,0,1,1,FALSE,Akt1,1,1,0,0,1,FALSE,0,Akt1,0,0
302,1,0,1,0,1,1,FALSE,Abi,1,1,0,0,1,FALSE,0,Abi,0,0
304,1.8,0,0.55555556,0,1,2,FALSE,CG8247,5,1,0,0,0.6,FALSE,0,CG8247,0,0
307,1.8,0,0.55555556,0,1,2,FALSE,ird5,5,1,0,0,0.6,FALSE,0,ird5,0,0
309,1.8,0,0.55555556,0,1,2,FALSE,Stat92E,5,1,0,0,0.6,FALSE,0,Stat92E,0,0
311,1.8,0,0.55555556,0,1,2,FALSE,chinmo,5,1,0,0,0.6,FALSE,0,chinmo,0,0
313,1.8,0,0.55555556,0,1,2,FALSE,Pgant35A,5,1,0,0,0.6,FALSE,0,Pgant35A,0,0
315,1.66666667,0,0.6,0,1,2,FALSE,Abl,3,1,0,0,0.66666667,FALSE,0,Abl,0,0
318,1.66666667,0,0.6,0,1,2,FALSE,th,3,1,0,0,0.66666667,FALSE,0,th,0,0
320,1.66666667,0,0.6,0,1,2,FALSE,ena,3,1,0,0,0.66666667,FALSE,0,ena,0,0
322,2.5,0,0.4,0,1,4,FALSE,sqd,2,1,0,0,0.625,FALSE,0,sqd,0,0
329,1,0,1,0,1,1,FALSE,Lcp65Ag1,1,1,0,0,1,FALSE,0,Lcp65Ag1,0,0
331,1,0,1,0,1,1,FALSE,cbx,1,1,0,0,1,FALSE,0,cbx,0,0
332,1,0,1,0,1,1,FALSE,yrt,1,1,0,0,1,FALSE,0,yrt,0,0
334,1,0,1,0,1,1,FALSE,morgue,1,1,0,0,1,FALSE,0,morgue,0,0
335,1,0,1,0,1,1,FALSE,tup,1,1,0,0,1,FALSE,0,tup,0,0
337,1.75,0,0.57142857,0,1,2,FALSE,gro,4,1,0,0,0.625,FALSE,0,gro,0,0
340,1.75,0,0.57142857,0,1,2,FALSE,Krn,4,1,0,0,0.625,FALSE,0,Krn,0,0
342,1.75,0,0.57142857,0,1,2,FALSE,Eip63E,4,1,0,0,0.625,FALSE,0,Eip63E,0,0
344,1.75,0,0.57142857,0,1,2,FALSE,Axn,4,1,0,0,0.625,FALSE,0,Axn,0,0
346,2.5,0,0.4,0,1,4,FALSE,stil,2,1,0,0,0.625,FALSE,0,stil,0,0
352,1,0,1,0,1,1,FALSE,mus304,1,1,0,0,1,FALSE,0,mus304,0,0
354,1,0,1,0,1,1,FALSE,Sobp,1,1,0,0,1,FALSE,0,Sobp,0,0
355,1,0,1,0,1,1,FALSE,B4,1,1,0,0,1,FALSE,0,B4,0,0
